"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "SQL", "JSON", "Markdown", "YAML", "HTML", "JSON with Comments", "XML", "comment", "blank", "total"
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/olderCtopp.saga.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 84
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/registration.saga.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 30
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/secondaryWist.saga.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 97
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/student.saga.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 99
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/user.saga.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 9, 73
"/Users/kenny/Desktop/Haleys-Hope/src/redux/sagas/youngerCtopp.saga.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 94
"/Users/kenny/Desktop/Haleys-Hope/src/redux/store.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 29
"/Users/kenny/Desktop/Haleys-Hope/src/styles/theme.css", "CSS", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 50, 209
"/Users/kenny/Desktop/Haleys-Hope/tailwind.config.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 78
"Total", "-", 3017, 11576, 350, 529, 233, 83, 16, 17, 5, 36, 1325, 1464, 18651
